"Author","Author Bio"
"Susan Belasco","SUSAN BELASCO (Ph.D., Texas A&amp;M University), professor of English and women's studies at the University of Nebraska, Lincoln, has taught courses in writing and American literature at several institutions since 1974. The editor of Margaret Fuller's Summer on the Lakes and Fanny Fern's Ruth Hall, she is also the coeditor of three collections of essays: Approaches to Teaching Stowe's ""Uncle Tom's Cabin,""Periodical Literature in Nineteenth-Century America, and Leaves of Grass: The Sesquicentennial Essays. The editor of ""Walt Whitman's Periodical Poetry"" for the Walt Whitman Archive (whitmanarchive.org), she is the current president of the Research Society for American Periodicals. LINCK JOHNSON (Ph.D., Princeton University), the Charles A. Dana Professor of English at Colgate University, has taught courses in writing and American literature and culture since 1974. He is the author of Thoreau's Complex Weave: The Writing of ""A Week on the Concord and Merrimack Rivers,"" with the Text of the First Draft, the Historical Introduction to A Week in the Princeton University Press edition of the Writings of Henry D. Thoreau, and numerous articles and contributions to books. The recipient of a National Endowment for the Humanities Fellowship at the American Antiquarian Society, he is a member of the Editorial Board of the Collected Works of Ralph Waldo Emerson and ESQ: A Journal of the American Renaissance."
"Madeleine L'Engle","Best known as the writer of YA classics like A Wrinkle in Time, the prolific and eclectic Madeleine L'Engle penned adult fiction, poems, plays, memoirs, and religious meditations -- all infused with her trademark eloquence, imagination, and intellectual curiosity."
"Sarah Florence Wood","Sarah Wood is a Leverhulme Fellow and Lecturer in American Studies at the University of Sussex."
"Eric Chock",
"William S. Burroughs","A wanderer and a literary experimentalist, William S. Burroughs is the Beat writer who outlived most of his contemporaries to become the literary symbol of a dispossessed, rock n' roll mentality. His rollercoaster existence made for good semifictional reading, but he also innovated the narrative form with his fragmentary, brash style."
"Larry McMurtry","Larry McMurtry worked as a cowhand on his father's Texas cattle ranch until he was 22, but never aspired to be a rancher. Instead, he published his first novel, Horseman, Pass By, when he was just 25. More than two dozen novels later, there's still more to McMurtry than a typical western."
"Ruthe Thompson","RUTHE THOMPSON is a professor of English at Southwest Minnesota State University. RISE B. AXELROD is director of English composition and McSweeney Professor of Rhetoric and Teaching Excellence at the University of California, Riverside. She has previously been professor of English at California State University, San Bernardino, director of the College Expository Program at the University of Colorado, Boulder, and assistant director of the Third College Composition Program at the University of California, San Bernardino.CHARLES R. COOPER is an emeritus professor in the department of literature at the University of California, San Diego, where he served as coordinator of the Third College Composition Program, Dimensions of Culture Program, and Campus Writing Programs. He has also been co-director of the San Diego Writing Project, one of the National Writing Project Centers. He is coeditor, with Lee Odell, of Evaluating Writing and Research on Composing: Points of Departure , and coauthor, with Susan Peck MacDonald, of Writing the World (Bedford/St. Martin's, 2000). Together, Axelrod and Cooper have coauthored The St. Martin's Guide to Writing and, with Allison Warriner, Reading Critically, Writing Well."
"Charles Wright","David Lehman is the editor of The Oxford Book of American Poetry and the author of seven books of poetry, including When a Woman Loves a Man. He lives in New York City."
"Rebecca Mlynarczyk",
"M. Evelina Galang","M. EVELINA GALANG is the author of two books of fiction — Her Wild American Self (Coffee House Press, '96), a collection of short stories and the novel, One Tribe (New Issues Press, '06). In addition to writing fiction and nonfiction, she has edited the anthology, Screaming Monkeys: Critiques of Asian American Images (Coffee House Press, '03). Galang is the recipient of numerous awards, among them, the 2004 Gustavus Myers Outstanding Book Awards Advancing Human Rights and the 2004 AWP Prize in the Novel, for ONE TRIBE. Galang has been researching the lives of the women of Liga ng mga Lolang Pilipina (LILA Pilipina), surviving Filipina ""Comfort Women"" of WWII, since 1998. In 2002, she was a Fulbright Senior Scholar in the Philippines where she continued her work with survivors. This past year, she authored the blog, ""Laban for the Lolas!"" in support of House Resolution 121 and was the Filipino American Outreach coordinator for 121 Coalition. She is currently writing Lolas' House: Women Living with War, stories of Surviving Filipina Comfort Women of World War II and is at work on her second novel, Angel de la Luna and THE 5th GLORIOUS MYSTERY and is at work on a new novel, BEAUTIFUL SORROW, BEAUTIFUL SKY. Galang teaches in the MFA Creative Writing Program at the University of Miami and has recently been nominated one of the 100 most influential Filipinas in the US by Filipina Women's Network."
"Peter Schakel","PETER SCHAKEL is Peter C. and Emajean Cook Professor of English at Hope College. He is author of The Poetry of Jonathan Swift (1978) and four books on C.S. Lewis, including Imagination and the Arts in C.S. Lewis (2002) and The Way into Narnia: A Reader's Guide (2005). He is also editor of Critical Approaches to Teaching Swift (1992) and The Longing for a Form: Essays and Fiction on C.S. Lewis (1977); coeditor with Charles A. Huttar of Word and Story in C.S. Lewis (1991) and The Rhetoric of Vision: Essays on Charles Williams (1996). For Bedford/St. Martin's, with Jack Ridl he co-edited Approaching Poetry (1997) and 250 Poems (2003), and he is coeditor with Janet Gardner, Beverley Lawn, and Jack Ridl of Literature: a Portable Anthology (2004).JACK RIDL is Professor Emeritus of English at Hope College where he taught courses in literature, essay writing, poetry writing, and the nature of poetry for thirty-five years. He has published six volumes of poetry and more than 200 poems in some fifty literary magazines; his most recent collection, Broken Symmetry, was selected by the Society of Midland Authors as one of the two best volumes of poetry published in 2006. His chapbook Against Elegies received the 2001 Letterpress Award from the Center for Book Arts. His recognitions for teaching excellence include the Hope Outstanding Professor-Educator award at Hope College for 1976, the Michigan Teacher of the Year award from the Carnegie Foundation in 1996, and the Favorite Faculty/Staff Member award at Hope College in 2003. For Bedford/St. Martin's, with Peter Schakel he co-edited Approaching Poetry (1997) and 250 Poems (2003); and he is coeditor with Janet Gardner, Beverley Lawn, and Peter Schakel of Literature: a Portable Anthology (2004)."
"Ron Padgett",
"William L. Andrews","William L. Andrews is E. Maynard Adams Professor of English at the University of North Carolina at Chapel Hill. He is the author of To Tell a Free Story and editor or coeditor of more than thirty books on African American literature."
"Carleen Brice","Carleen Brice is the author of Walk Tall: Affirmations for People of Color, which was a Blackboard Bestseller, and Lead Me Home: An African American Guide Through the Grief Journey, and was a contributing editor for R.I.P.: The Complete Book of Death and Dying. She has written for various publications, including Mademoiselle, the Chicago Tribune, and BET.com, and lives in Denver, Colorado."
"Paul Hoover","Paul Hoover is Professor of Creative Writing at San Francisco State University and co-editor of the literary magazine New American Writing. He has published nine books of poetry and a novel."
"D. L. Lepidus","D. L. LEPIDUS is a freelance critic and editor who has covered the New York theater scene for more than twenty-five years."
"Arnold Krupat","Nina Baym (General Editor), Ph.D. Harvard, is Swanlund Endowed Chair and Center for Advanced Study Professor Emerita of English, and Jubilee Professor of Liberal Arts and Sciences at The University of Illinois at Urbana-Champaign. She is author of The Shape of Hawthorne’s Career; Woman's Fiction: A Guide to Novels by and About Women in America; Novels, Readers, and Reviewers: Responses to Fiction in Antebellum America; American Women Writers and the Work of History, 1790-1860; and American Women of Letters and the Nineteenth-Century Sciences. Some of her essays are collected in Feminism and American Literary History; she has also edited and introduced many reissues of work by earlier American women writers, from Judith Sargent Murray through Kate Chopin. In 2000 she received the MLA’s Hubbell medal for lifetime achievement in American literary studies.Arnold Krupat (editor, Native American Literatures), Ph.D. Columbia, is Professor of Literature at Sarah Lawrence College. He is the author, among other books, of Ethnocriticism: Ethnography, History, Literature, The Voice in the Margin: Native American Literature and the Canon, Red Matters, and most recently, All That Remains: Native Studies (2007). He is the editor of a number of anthologies, including Native American Autobiography: An Anthology and New Voices in Native American Literary Criticism. With Brian Swann, he edited Here First: Autobiographical Essays by Native American Writers, which won the Wordcraft Circle of Native Writers and Storytellers Award for best book of nonfiction prose in 2001.Jeanne Campbell Reesman (editor, 1865-1914), Ph.D. University of Pennsylvania, is Ashbel Smith Professor of English at the University of Texas at San Antonio. She is author of Houses of Pride: Jack London’s Race Lives, Jack London: A Study of the Short Fiction, and American Designs: The Late Novels of James and Faulkner, and editor of Speaking the Other Self: American Women Writers, and Trickster Lives: Culture and Myth in American Fiction. With Wilfred Guerin et al. she is co-author of A Handbook of Critical Approaches to Literature and with Earle Labor of Jack London: Revised Edition. With Kenneth Brandt she is co-editor of MLA Approaches to Teaching Jack London, with Leonard Cassuto Rereading Jack London, with Dale Walker No Mentor but Myself: Jack London on Writing and Writers, and with Sara S. Hodson Jack London: One Hundred Years a Writer. She and Noël Mauberret are co-editors of a series of 25 new Jack London editions in French published by Éditions Phébus of Paris. She is presently at work on two books: Mark Twain Versus God: The Story of a Relationship, and, with Sara S. Hodson, The Photography of Jack London. She is a member of the Executive Board of the American Literature Association and founder and Executive Coordinator of the Jack London Society."
"David Lewis",
"D.B. Wyndham Lewis",
"Richard Ellmann",
"Frank Finale","Frank Finale has more than three hundred fifty poems and essays published in more than one hundred different books, journals, and magazines.  His critically acclaimed book of essays and poems, To The Shore Once More (Volume I), published in 1999, was a regional bestseller. He teaches at East Dover Elementary School in the Toms River Regional School District in New Jersey and has done district-wide workshops for teachers on ""The Effective Use of Poetry in the Classroom.""  He is currently the poetry editor for the new renaissance, an international magazine of ideas and opinions, emphasizing literature and the arts.  In 1996, he co-edited, with Rich Youmans, Under A Gull's Wing (Down The Shore Publishing), the critically acclaimed anthology of poems and photographs about the Jersey Shore.  In 1983, he helped found the literary magazine, Without Halos as well as its publishing organization, The Ocean County Poets Collective. He served as editor-in-chief from 1985 through 1995.  He received a Master Of Arts Degree from Fairleigh Dickinson University in 1976.  Mr. Finale regularly gives readings throughout the Jersey Shore and New Jersey.  Born in 1942, Mr. Finale is a Pisces who has lived by the sea most of his life and currently resides with his wife, Barbara, two cats, and almost too many books in Bayville, New Jersey."
"David Remnick","David Remnick has been the editor of The New Yorker since 1998. A staff writer for the magazine from 1992 to 1998, he was previously The Washington Post's correspondent in the Soviet Union. The author of several books, he was awarded the Pulitzer Prize and the George Polk Award for his 1994 book Lenin's Tomb. He lives in New York with his wife and children."
"Martin Kohn",
"Henry Louis Gates Jr.",
"The Caine Prize for African Writing",
"Stacy Bias","Rachel Kramer Bussel previously edited the best-selling erotica collection Up All Night. She is the coauthor of The Lesbian Sex Book and a sex columnist for The Village Voice. She lives in New York City. Visit her Web site at www.rachelkramerbussel.com."
"Lillian Castillo-speed",
"Frances Payne Adler","Poet Frances Payne Adler is a professor and founder of the Creative Writing and Social Action Program at California State University, Monterey Bay. She is the author of five books, including The Making of a Matriot, and is nationally recognized for her collaborative social action art exhibitions.Fiction writer Debra Busman, a long time activist and community organizer, and poet Diana García, a founding member of the Border Voices Project, are both professors and co-directors of the Creative Writing and Social Action Program, California State University, Monterey Bay."
"Jack Hicks","Jack Hicks teaches California literature and directs the Graduate Creative Program at the University of California, Davis. James D. Houston's seven books of fiction/nonfiction include Continental Drift (California, 1996) and The Last Paradise (1998), which won the American Book Award. Maxine Hong Kingston is the author of The Woman Warrior (1976), China Men (1980), and Tripmaster Monkey (1989). An early draft of her fourth novel, The Fifth Book of Peace, was destroyed in a fire; the restored version will be published in 2000-2001. Al Young's twenty books include African American literary anthologies, memoirs, collections of poetry, and the novels Sitting Pretty  (1976) and Who Is Angelina? (California, 1996)."
"Agnes Repplier","Agnes Repplier, who published for sixty-five of her ninety-five years, was the author of more than two dozen books, all of which are out of print. A native Philadelphian who never moved and never married, during her lifetime she was a popular essayist who wrote for virtually every major literary outlet in America, including the Atlantic, Harper’s, and Life.  John Lukacs is the author, most recently, of Blood, Toil, Tears, and Sweat: The Dire Warning: Churchill’s First Speech as Prime Minister. He taught for many years at Chestnut Hill College in Philadelphia and makes his home in Chester County, Pennsylvania."
"Gene A. Jarrett","Gene Andrew Jarrett is Associate Professor of English and African American studies at Boston University. He is the author of Deans and Truants: Race and Realism in African American Literature (2007), and the editor or co-editor of several volumes and collections, including The Collected Novels of Paul Laurence Dunbar (2009)."
"Margarite Fernandez Olmos","HAROLD AUGENBRAUM is the executive director of the National BookFoundation. He lives in the Bronx, New York."
"Lori Foster","Lori Foster is the New York Times and USA Today bestselling author of many contemporary romances, including My Man Michael (2/09). She lives in Ohio."
"Max Evans","Max Evans, the author of Bluefeather Fellini, The Rounders, The Hi Lo Country, and twenty-two other books, lives in Albuquerque, New Mexico. He received the Owen Wister Award for lifelong contributions to the field of western literature from the Western Writers of America.Candy Vyvey Moulton has written or co-written eleven books on western history and has won the Spur Award. Moulton makes her home near Encampment, Wyoming, where she edits the Western Writers of America Roundup Magazine."
"Maxine Schwartz Seller",
"Lisa Morton","Lisa Morton is also the author of The Halloween Encyclopedia (2003) and The Cinema of Tsui Hark (2001, ""thorough""--VideoScope). She is a prolific screenwriter and lives in North Hollywood, California."
"Julie Buckner Armstrong","Julie Buckner Armstrong is an associate professor of English at the University of South Florida, St. Petersburg. She is coeditor of Teaching the American Civil Rights Movement: Freedom's Bittersweet Song. Amy Schmidt is completing a doctoral degree in English at the University of Arkansas."
"Constance Rosenblum","Constance Rosenblum, the longtime editor of the New York Times’ City section and former editor of the newspaper’s Arts &amp; Leisure section, is the author of Gold Digger: The Outrageous Life and Times of Peggy Hopkins Joyce and editor of New York Stories: The Best of the City Section of the New York Times, also available from NYU Press."
"Harold Clurman",
"Peter Straub","PETER STRAUB is the New York Times bestselling author of more than a dozen novels. Two of his most recent, Lost Boy Lost Girl and In the Night Room, are winners of the Bram Stoker Award. He lives in New York City."
"Ian Frazier","Ian Frazier is the author of many books, including Great Plains, On the Rez, Coyote v. Acme, Dating Your Mom, and, most recently, Travels in Siberia. A frequent contributor to The New Yorker, he has twice won the Thurber Prize for American Humor. He lives in Montclair, New Jersey."
"Elizabeth Schmidt",
"Hayden Carruth",
"Dept of Creative Writing",
"Deborah De Nicola","DEBORA DE NICOLA Visiting Professor of English Literature and Creative Writing at Massachusetts College of Art, is author of Where Divinity Begins (1994) and two chapbooks."
"Arja Salafranca","Arja Salafranca was born in Spain to a Spanish father and a South African mother. She has lived in South Africa since the age of five. In 1993 she earned a degree in African Literature and Psychology from the University of the Witwatersrand. Her fiction and poetry has been published in a number of local and international journals and anthologies. A Life Stripped of Illusions, her first poetry collection, won the 1994 Sanlam Award for poetry, while her short story, 'Couple on the Beach' won the same award in 1999 for short fiction. Her second collection of poetry, The Fire in Which We Burn, was published in 2000. Arja has worked as a journalist and sub-editor for various newspapers.Alan Finlay was born in Johannesburg and earned his BA in Philosophy and English at Rhodes University. From 1994 to 1999 he published the literary magazine Bleksem, and later founded the online literary magazine Donga (www.donga.co.za). His own published collections of poetry include: Burning Aloes (Dye Hard Press, 1994); No Free Sleeping (with Donald Parenzee and Vonani Bila; Botsotso Publishers, 1998); and The Red Laughter Of Guns In Green Summer Rain (chainpoems with Phillip Zhuwao; Dye Hard Press, 2002). Alan works in social and media research and lives in Johannesburg with his wife and two sons."
"Arnold Adoff",
"Kirk Curnutt","Dr. Kirk Curnutt is a professor of English at Troy State University. Dr. Curutt is the author of scholarly works on F. Scott Fitzgerald, Gertrude Stein, and Ernest Hemingway among others. He is also a published novelist.Paul Lauter is the Smith Professor of Literature at Trinity College. He has served as president of the American Studies Association and is a major figure in the revision of the American literary canon.John Alberti teaches at Northern Kentucky University and has a Ph.D. in American literature from UCLA. His main area of research is multicultural American literature and culture.Dr. Bryer is an expert on F. Scott Fitzgerald and is president of the International F. Scott Fitzgerald Society. He was an editor of DEAR SCOTT, DEAREST ZELDA: THE LOVE LETTERS OF F. SCOTT AND ZELDA FITZGERALD (Macmillan).Dr. Bryer is an expert on F. Scott Fitzgerald and is president of the International F. Scott Fitzgerald Society. He was an editor of DEAR SCOTT, DEAREST ZELDA: THE LOVE LETTERS OF F. SCOTT AND ZELDA FITZGERALD (Macmillan)."
"Cristina Garcia","Cristina García was born in Havana and grew up in New York City. Her first novel, Dreaming in Cuban, was nominated for a National Book Award and has been widely translated. Ms. García has been a Guggenheim Fellow, a Hodder Fellow at Princeton University, and the recipient of a Whiting Writers' Award. She lives in Los Angeles with her daughter, Pilar."
"Michael Chabon","Although his novels and short stories have varied in setting -- from the 1940s New York of the Pulitzer Prize-winning The Amazing Adventures of Kavalier &amp; Clay to the contemporary Pittsburgh of The Mysteries of Pittsburgh -- all of Michael Chabon s witty and understated books feature memorable, deftly-drawn characters trying to find their place in the world."
"Julia Miles",
"Kenneth W. Harrow","Kenneth W. Harrow (Ph.D., New York University) is a professor of English at Michigan State University and is past president of the African Literature Association. He has co-edited Crisscrossing the Boundaries of African Literature, and has published widely on African literature and film."
"Barnes &amp; Noble",
"Isabel Balseiro","ISABEL BALSEIRO is Associate Professor of Comparative Literature at Harvey Mudd College, The Claremont Colleges, in California. Her work has been published in journals in the United Kingdom, the United States, and South Africa. She is currently editing an anthology on South African cinema and a book on Caribbean literature and culture."
"Paul Beatty","Paul Beatty is the author of two novels, Tuff and The White Boy Shuffle, and two books of poetry, Big Bank Take Little Bank and Joker, Joker, Deuce. He lives in New York City."
"Bill McKibben","Bill McKibben is the author of ten books, including The End of Nature, The Age of Missing Information, and Enough: Staying Human in an Engineered Age. A former staff writer for The New Yorker, he writes regularly for Harper’s, The Atlantic Monthly, and The New York Review of Books, among other publications. He is a scholar in residence at Middlebury College and lives in Vermont with his wife, the writer Sue Halpern, and their daughter."
"Jose L. Torres-Padilla",
"Amandina Lihamba","Amandina Lihamba is Dean of the Faculty of Arts and Sciences at Dar Es Salaam University, in Dar Es Salaam, Tanzania. She holds a degree in film studies from UCLA. Fulata L. Moyo has been Coordinator of the Department of Theology and Religious Studies at the University of Malawi, in Zomba, Malawi. She is now working on a doctorate in religious studies at Lutheran Theological Institute in Pietermaritzburg, South Africa. Mugyabuso M. Mulokozi is Director of the Institute of Kiswahili Research at Dar Es Salaam University in Tanzania. He is a scholar, a well-known poet, and translator. Naomi L. Shitemi, was a coordinator of the Department of Kiswahili and other African Languages at Moi University, in Eldoret, Kenya. She is now Dean of a division in that university."
"Cheryll Glotfelty",
"Lewis H. Lapham",
"John C. Shields","John C. Shields is the editor of&nbsp;The Collected Works of Phillis Wheatley&nbsp;and the author of&nbsp;The American Aeneas: Classical Origins of the American Self, which won a Choice Outstanding Academic Book award and an honorable mention in the Harry Levin Prize competition, sponsored by the American Comparative Literature Association.&nbsp;"
"Philip Smith",
"J. M. Huscher",
"Sandra L. Ballard",
"Rosalie C. Otero","Rosalie C. Otero is the director of the University Honors Program, University of New Mexico, Albuquerque, and the associate dean of University College. She has written several book chapters, articles, and short fiction.A. Gabriel Meléndez is professor of American studies at the University of New Mexico, Albuquerque.Enrique R. Lamadrid is a literary folklorist and cultural historian in the University of New Mexico's Department of Spanish and Portuguese. In 2005, he was awarded the Americo Paredes Prize by the American Folklore Society in recognition of his work as a cultural activist.Miguel A. Gandert is professor of journalism and communication, University of New Mexico, Albuquerque."
"J. Brent Bill",
"Honor Moore","Honor Moore is a poet and the author of The Bishop's Daughter. She lives in New York City and teaches at the New School and Columbia University."
"Joyce Carol Oates","In a prolific and varied oeuvre that ranges over essays, plays, criticism, and several genres of fiction, Joyce Carol Oates has proved herself one of the most influential and important storytellers in the literary world."
"Philip Nel","Julia L. Mickenberg is associate professor of American Studies, University of Texas at Austin. She is the author of Learning from the Left: Children's Literature, the Cold War, and Radical Politics in the United States.Philip Nel is professor of English and Director of the Program in Children's Literature, Kansas State University. He is the author of The Annotated Cat: Under the Hats of Seuss and His Cats, Dr. Seuss: American Icon, and J. K. Rowling's Harry Potter Novels: A Reader's Guide."
"Martin Denton",
"Annie Dillard","Annie Dillard has written eleven books, including the memoir of her parents, An American Childhood; the Northwest pioneer epic The Living; and the nonfiction narrative Pilgrim at Tinker Creek. A gregarious recluse, she is a member of the American Academy of Arts and Letters."
"Carolyn Dunn",
"John Gassner",
"Wayne Franklin","Nina Baym (General Editor), Ph.D. Harvard, is Swanlund Endowed Chair and Center for Advanced Study Professor Emerita of English, and Jubilee Professor of Liberal Arts and Sciences at The University of Illinois at Urbana-Champaign. She is author of The Shape of Hawthorne’s Career; Woman's Fiction: A Guide to Novels by and About Women in America; Novels, Readers, and Reviewers: Responses to Fiction in Antebellum America; American Women Writers and the Work of History, 1790-1860; and American Women of Letters and the Nineteenth-Century Sciences. Some of her essays are collected in Feminism and American Literary History; she has also edited and introduced many reissues of work by earlier American women writers, from Judith Sargent Murray through Kate Chopin. In 2000 she received the MLA’s Hubbell medal for lifetime achievement in American literary studies.Wayne Franklin, Ph.D. (University of Pittsburgh), is Professor and Head of English, University of Connecticut. He is the author of James Fenimore Cooper: The Early Years (the first volume of his definitive biography, from Yale University Press), The New World of James Fenimore Cooper, and Discoverers, Explorers, Settlers: The Diligent Writers of Early America. He is the editor of American Voices, American Lives: A Documentary Reader and co-editor of The Norton Anthology of American Literature and of, with Michael Steiner, Mapping American Culture.Philip F. Gura (Editor, 1700-1820), Ph.D. Harvard, is William S. Newman Distinguished Professor of American Literature and Culture and Adjunct Professor of Religious Studies at the University of North Carolina at Chapel Hill. He is the author of seven books, including The Wisdom of Words: Language, Theology, and Literature in the New England Renaissance; A Glimpse of Sion’s Glory: Puritan Radicalism in New England, 1620-1660; and Jonathan Edwards, America's Evangelical. For ten years he was editor of the journal Early American Literature. He is an elected member of the Massachusetts Historical Society, the American Antiquarian Society, and the Colonial Society of Massachusetts.Jerome Klinkowitz (co-editor, American Literature since 1945), Ph.D. Wisconsin, is University Distinguished Scholar and Professor of English at the University of Northern Iowa. He is the author or editor of over forty books in postwar culture and literature, among them, Structuring the Void: The Struggle for Subject in Contemporary American Fiction; Slaughterhouse Five: Reforming the Novel and the World; Literary Subversions: New American Fiction and the Practice of Criticism; and The Practice of Fiction in America: Writers from Hawthorne to the Present.Arnold Krupat (editor, Native American Literatures), Ph.D. Columbia, is Professor of Literature at Sarah Lawrence College. He is the author, among other books, of Ethnocriticism: Ethnography, History, Literature, The Voice in the Margin: Native American Literature and the Canon, Red Matters, and most recently, All That Remains: Native Studies (2007). He is the editor of a number of anthologies, including Native American Autobiography: An Anthology and New Voices in Native American Literary Criticism. With Brian Swann, he edited Here First: Autobiographical Essays by Native American Writers, which won the Wordcraft Circle of Native Writers and Storytellers Award for best book of nonfiction prose in 2001.Robert S. Levine (editor, American Literature, 1820-1865), Ph.D. Stanford, is Professor of English at the University of Maryland, College Park. He is the author of Conspiracy and Romance: Studies in Brockden Brown, Cooper, Hawthorne, and Melville; and Martin Delany, Frederick Douglass, and the Politics of Representative Identity. He has edited a number of books, including The Cambridge Companion to Herman Melville; Martin R. Delany: A Documentary Reader; and a Norton Critical Edition of Hawthorne’s The House of the Seven Gables.Mary Loeffelholz (editor, 1914-1945), Ph.D. Yale, is Professor of English at Nort ..."
"Farcountry Press","Caroline Patterson's work has appeared in numerous publications, including Epoch, Seventeen, Southwest Review, Via, and Sunset. She has an M.F.A. in creative writing from the University of Montana, was a 1990-1992 Stegner Fellow in Fiction at Stanford University, and has received fellowships from the Montana Arts Council and the San Francisco Foundation. She lives in Helena with her husband, writer Fred Haefele, and their two children."
"Lloyd Ultan",
"Jay Atkinson","Jay Atkinson is the author of two novels, three narrative nonfiction books, and a collection of stories. His work has appeared in the New York Times, Men's Health, the Boston Globe, and elsewhere. He teaches journalism at Boston University."
"Sandra Chastain",
"Hazel Felleman",
"Ruth Peltason","Ruth Peltason runs Bespoke Books, a small book producing company that specializes in books on the cultural arts, including Elizabeth Taylor: My Love Affair with Jewelry, Kate Spade's Occasions, Style, and Manners. I Am Not My Breast Cancer grew out of the author's passion to wed her skills as a book editor and her own experiences with breast cancer. She was previously senior editor, director of design and style books with Harry N. Abrams, Inc., Publishers, and lives in New York City."
"James Leonard","JAMES S. LEONARD received his Ph.D. from Brown University, and is Professor of English (and former English Department chair) at The Citadel. He is the editor of Making Mark Twain Work in the Classroom (Duke University Press, 1999), coeditor of Authority and Textuality: Current Views of Collaborative Writing (Locust Hill Press, 1994) and Satire or Evasion? Black Perspectives on Huckleberry Finn (Duke University Press, 1992), and coauthor of The Fluent Mundo: Wallace Stevens and the Structure of Reality (University of Georgia Press, 1988). He has served as president of the Mark Twain Circle of America (2010–2012), managing editor of The Mark Twain Annual (since 2004), and editor of the Mark Twain Circular (1987–2008), and is a major contributor to The Greenwood Encyclopedia of Poets and Poetry (Greenwood Press, 2006) and American History Through Literature (Charles Scribner’s Sons, 2005). SHELLEY FISHER FISHKIN is Professor of English and Director of American Studies at Stanford University. She is the author, editor, or coeditor of over forty books, including the award-winning Was Huck Black? Mark Twain and African American Voices (1993), From Fact to Fiction: Journalism and Imaginative Writing in America (1988), and Feminist Engagements: Forays into American Literature and Culture (2009), as well as Lighting Out for the Territory (1997), The Oxford Mark Twain (1996), The Historical Guide to Mark Twain (2002), Mark Twain‘s Book of Animals (2009), The Mark Twain Anthology:Great Writers on his Life and Work (2010), Is He Dead? A Comedy in Three Acts by Mark Twain (2003), People of the Book: Thirty Scholars Reflect on Their Jewish Identity (with Jeffrey Rubin-Dorsky) (1996), Listening to Silences: New Essays in Feminist Criticism (with Elaine Hedges)(1994), and Sport of the Gods and Other Essential Writings by Paul Laurence Dunbar (with David Bradley) (2005). She has also published more than eighty articles, essays, or reviews in publications including American Quarterly, American Literature, Journal of American History, American Literary History, and the New York Times Book Review, and has lectured on American literature in Belgium, Canada, Chile, China, France, Ireland, Israel, Italy, Japan, Korea, Mexico, the Netherlands, Portugal, Russia, Taiwan, Turkey, the United Kingdom, and throughout the United States. A member of the first class of women to graduate from Yale College, she stayed on at Yale to earn her M.A. in English and her Ph.D. in American Studies. Before her arrival at Stanford, she directed the Poynter Fellowship in Journalism at Yale and taught American Studies and English at the University of Texas at Austin, where she chaired the American Studies Department. She co-founded the Charlotte Perkins Gilman Society and is a past president of the Mark Twain Circle of America and the American Studies Association. DAVID BRADLEY earned a BA in Creative Writing at the University of Pennsylvania in 1972 and a MA in United States Studies at the University of London in 1974. A Professor of English at Temple University from 1976 to 1997, Bradley has been a visiting professor at the San Diego State University, the University of California—San Diego, the Massachusetts Institute of Technology, Colgate University, the College of William &amp; Mary, the City College of the City University of New York and the Michener Center for Writers at the University of Texas, Austin. He is currently an Associate Professor of Fiction in the Creative Writing Program at the University of Oregon. Bradley has read and lectured extensively in the United States and also in Japan, Korea, Pakistan, the United Kingdom, South Africa and Australia. He is the author of two novels, South Street (1975) and The Chaneysville Incident (1981) which was awarded the 1982 PEN/Faulkner Award and an Academy Award from the American Academy and Institute of Arts and Letters. His non-fiction has appeared in Esquire, Redbook, The New York Times, The Los Angeles Ti ..."
"Martin Gardner",
"Ellen Hansen",
