"Title","Author Name","ISBN","Synopsis","Year","Stock"
"Glencoe Literature: American Literature: The Reader's Choice","Jeffrey D. Wilhelm","9780078454813",,"2006","3"
"Inlandia","Gayle Wattawa","9781597140379","Yes, Virginia, there is a literary scene east of Los Angeles. Gayle Wattawa proves that point with this 400-page anthology of robust writings from Southern California locales east of L.A. Among this collection's greatest strengths is its authentic novelty: Many of the engaging pieces herein were crafted by writers unfamiliar to readers outside the region.Library JournalInlandia, or the Inland Empire, constituting Riverside and San Bernardino counties in Southern California, is one of the fastest-growing regions in the United States. The term was first used in the 1950s to distinguish the region from the Los Angeles area, another Inland Empire with its own unique culture. The desert, the gangs, the tract housing, the ethnic mix: all these aspects of Inlandia and more are presented in this anthology, edited by Heyday acquisitions editor Wattawa and containing stories, essays, poems, and nonfiction. Like other Heyday anthologies (e.g., California Uncovered: Stories for the 21st Century), the pieces within are a mix of contemporary and older items and present both established and literary voices. This work also contains historical entries, such as excerpts from the diary of a Japanese American interned during World War II. Recommended for public libraries and for libraries collecting in American and/or California studies.-Terren Ilana Wein, Univ. of Chicago Divinity Sch. Copyright 2006 Reed Business Information.","2006","1"
"The Norton Anthology of American Literature: Volume C: 1865-1914","Arnold Krupat","9780393927412","Firmly grounded in the core strengths that have made it the best-selling undergraduate survey in the field, The Norton Anthology of American Literature has been revitalized in this Seventh Edition through the collaboration between three new period editors and five seasoned ones.","2007","7"
"The Norton Anthology of African American Literature","Henry Louis Gates Jr.","9780393040012","Welcomed on publication as ""brilliant, definitive, and a joy to teach from,"" The Norton Anthology of African American Literature was adopted at more than 1,275 colleges and universities worldwide. Now, the new Second Edition offers these highlights.Publishers WeeklyCollaborating on The Norton Anthology of African American Literature, editors Henry Louis Gates Jr. and Nellie Y. McKay have compiled what may be the definitive collection of its kind. Organized chronologically, the massive work gathers writings from six periods of black history: slavery and freedom; Reconstruction; the Harlem Renaissance; Realism, Naturalism and Modernism; the Black Arts Movement and the period since the 1970s. The work begins with the vernacular tradition of spirituals, gospel and the blues; continues through work songs, jazz and rap; ranges through sermons and folktales; and embraces letters and journals, poetry, short fiction, novels, autobiography and drama. BOMC selection; companion audio CD.","1996","7"
"American Sonnets: An Anthology","David Bromwich","9781598530155",,"2007","3"
"Writings: The Autobiography of an Ex-Colored Man, Along This Way, Essays and Editorials, Selected Poems","James Weldon Johnson","9781931082525","The Autobiography of an Ex-Colored Man (1912), James Weldon Johnson's first book and the first modernist novel written by an African American, is a groundbreaking and subtle account of racial passing, initially published as an anonymous memoir. Its veracitymany believed it to be a genuine autobiographyhas made it one of the undisputed masterpieces of African American literature and established Johnson in the African American literary vanguard of the first half of the twentieth century. He was also one of the central figures of the civil-rights struggle of his era, a tireless activist and longtime leader of the NAACP. Until now, however, his innovative and fascinating writings have never been gathered in a one-volume edition.  Johnson's complex career spanned the worlds of diplomacy (as a U.S. consul in Venezuela and Nicaragua), politics (as secretary of the NAACP), journalism (as the founder of one newspaper and longtime editor of another), and musical theater (as lyricist for the Broadway song-writing team of Cole and Johnson Brothers). Writings presents a generous array of Johnson's essays which, with the early work of W.E.B. Du Bois, established the foundation of twentieth- century African American literary criticism; a selection of his topical editorials from the New York Age; and an offering of his poems and lyrics, including God's Trombonesa brilliant verse homage to African American preachingvaudeville songs, protest poems, and perhaps Johnson's most famous work, “Lift Every Voice and Sing,” a stirring hymn often called the “Negro National Anthem.”Library JournalThe Library of America's latest offering combines the author's noted 1912 novel The Autobiography of an Ex-Colored Man and his 1933 autobiography Along This Way plus numerous essays and his New York Age editorials covering a plethora of subjects. Top shelf. Copyright 2004 Reed Business Information.","2004","7"
"Oral Epics from Africa","John William Johnson","9780253211101","""The editors... must be congratulated... Long live the African storytellers!""  Africa Today""It is difficult to imagine a more practical introduction to contemporary African epic than this anthology... no other single volume comprehends the full scope of African epic (as opposed to praise poetry) the way this one does.... The stories are engaging, and the free-verse translations are surprisingly readable.... Recommended for all academic collections.""  ChoiceWestern culture traces its literary heritage to such well-known epics as the Iliad and the Odyssey and Gilgamesh. But it is only recently that scholars have turned their attention toward capturing the rich oral tradition that is still alive in Africa today. These 25 selections introduce English-speaking readers to the extensive epic traditions in Africa.","2008","4"
"The Heath Anthology of American Literature: Volume B: Early Nineteenth Century (1800-1865)","Paul Lauter","9780618532988","Unrivaled diversity and teachability have made The Heath Anthology a best-selling text since the publication of its first edition in 1989. In presenting a more inclusive canon of American literature, The Heath Anthology continues to balance the traditional, leading names in American literature with lesser-known writers and to build upon the anthology's other strengths: its apparatus and its ancillaries. Available in five volumes for greater flexibility, the Fifth Edition offers thematic clusters to stimulate classroom discussions and to show the treatment of important topics across the genres. The indispensable web site includes revised timelines, a multimedia gallery to support thematic clusters, and a searchable Instructor's Guide.","2004","4"
"American Working-Class Literature: An Anthology","Nicholas Coles","9780195144567","America's workers have been singing, reciting, performing, telling stories, writing, and publishing for more than three centuries. Ranging from early colonial times to the present, American Working-Class Literature presents more than 300 literary texts that exemplify this tradition. It demonstrates how American working people live, labor, struggle, express themselves, and give meaning to their experiences both inside and outside of the workplace. The only book of its kind, this groundbreaking anthology includes work not only by the industrial proletariat but also by slaves and unskilled workers, by those who work unpaid at home, and by workers in contemporary service industries. As diverse in race, gender, culture, and region as America's working class itself, the selections represent a wide range of genres including fiction, poetry, drama, memoir, oratory, journalism, letters, oral history, and songs. Works by little-known or anonymous authors are included alongside texts from such acclaimed writers as Frederick Douglass, Upton Sinclair, Tillie Olsen, Philip Levine, Maxine Hong Kingston, and Leslie Marmon Silko. A rich selection of contemporary writing includes Martin Espada's poem ""Alabanza"" about the September 11, 2001, attack on the World Trade Center. American Working-Class Literature is organized chronologically into seven sections that highlight key historical and cultural developments in working-class life. The book is enhanced by an editors' introduction, section introductions, and individual head notes for each selection that provide biographical and historical context. A timeline of working-class history, rich illustrations, sidebars, reading lists, and a bibliography of critical commentary are also included. This unique volume is ideal for courses in American literature, cultural and working-class studies, and labor history.","2006","1"
"Bronx Accent: A Literary and Pictorial History of the Borough","Lloyd Ultan","9780813538624","While The Bronx is presently undergoing a renaissance, a mention of this borough often conjures up ""Fort-Apache-the-Bronx"" images of urban blight and crime. Yet for the last three hundred years, and through all its various social and economic transformations/ The Bronx has been a major literary center that many prominent writers have called home.This comprehensive book captures the Zeitgeist of The Bronx through the eyes of its writers-both past literary figures and emerging talents. Lloyd Ultan and Barbara Unger place this literature in its historical context and reproduce here one hundred vintage photographs and postcard views that bring the writings to life. The resulting book provides the reader with insights into the kaleidoscopic shifts in Bronx life over the centuries. Filtered through the imaginations of authors of different times, ethnic groups, social classes, and literary styles, the borough of The Bronx emerges not only as a shaper of destinies and lives, but as an important literary mecca. ""I am living out of town about 13 miles/ at a village called Fordham, on the railroad leading north. We are in a snug little cottage, keeping house, and would be very comfortable, but that I have been for a long time dreadfully ill. ... I am done with drink-depend upon that. . . . When you write/ address simply 'New-York-City.'There is no Post Office at Fordham.""-EDGAR ALLAN POE, from a letter excerpted in Bronx Accent: A Literary and Pictorial History of the Borough. Some writers included in Bronx Accent:  Sholem Aleichem  James Baldwin  James Fenimore Cooper  Theodore Dreiser  Washington Irving  Jack Kerouac  Clifford Odets Cynthia Ozick  Grace Paley  Edgar Allan Poe  Chaim Potok  Kate Simon  Leon Trotsky  Mark Twain  Tom Wolfe  Herman WoukBooknewsOfficial Bronx Borough Historian Ultan (history, Fairleigh Dickinson U.) and poet Unger (English, Rockland Community College) assemble excerpts from known and unknown writers, and black-and-white photographs, to chronicle the history of New York City's northernmost borough from the middle of the 17th century to the present. The material is presented according to the period the writer is discussing rather than by publication date. Annotation c. Book News, Inc., Portland, OR (booknews.com)","2006","9"
"New York Nocturne: The City After Dark in Literature, Painting, and Photography, 1850-1950","William Chapman Sharpe","9780691133249","""New York Nocturne is a wonderfully rich plum pudding of a book on the evolution of the modern urban environment and how it has been perceived, especially in New York. Teeming with little-known history and keen critical insight, this study illuminates how artists and writers made imaginative capital of the changing New York nightscape. Their vision helped construct the image of New York as we still see it today: a city that never sleeps, a brilliantly lit stage set that comes alive in dramatic, even thrilling ways after dark.""--Morris Dickstein, CUNY Graduate Center""New York Nocturne is a tour de force of scholarship and an instant classic. I cannot think of another book that so convincingly shows the connections between technological innovation, spatial transformation, and cultural change.""--Steven Hoelscher, University of Texas, Austin""New York Nocturne raises important questions concerning the history of cities, urban modernism and modernity, and the relationship of technology to the urban experience. The breadth is ambitious and the text is studded with lovely analyses of individual works.""--Rebecca Zurier, University of MichiganThe Barnes &amp; Noble ReviewThe blackout of 2003 offered New Yorkers their most recent opportunity to experience something exceedingly rare: the city enveloped in darkness. William Chapman Sharpe begins New York Nocturne at a time when nighttime darkness was the norm and light -- first in the form of gas, then of electricity -- was radically disorienting, eventually transforming patterns of commerce and leisure. In this gorgeous, erudite book, the Barnard College professor examines the myriad ways that writers, painters, and photographers have represented New York nightlife, beginning in the mid-19th century, when works by Herman Melville, Walt Whitman, and Edgar Allan Poe dramatized the moral perils of the artificially lit city. Sharpe's journey takes him to the middle of the 20th century, by which time artists like Edward Hopper and Weegee exploit the nighttime's theatrical, voyeuristic potential. In between he covers James McNeill Whistler, Stephen Crane, John Sloan, Alfred Stieglitz, Georgia O'Keeffe, Joseph Stella, and many others, with close readings of the literature and black-and-white and color reproductions of the art. Sharpe, whose own affection for the city is charmingly apparent here, insists throughout that artists and writers haven't simply reacted to the changes in urban existence; rather, they have ""helped turn the unscouted terrain of the urban night into a legible part of contemporary life."" --Barbara Spindel","2008","4"
"The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race","Jon Stewart","9780446579223","The eagerly awaited new book from the Emmy-winning, Oscar-hosting, Daily Show-anchoring Jon Stewartthe man behind the megaseller America (The Book). Where do we come from? Who created us? Why are we here? These questions have puzzled us since the dawn of time, but when it became apparent to Jon Stewart and the writers of The Daily Show that the world was about to end, they embarked on a massive mission to write a book that summed up the human race: What we looked like; what we accomplished; our achievements in society, government, religion, science and culture  all in a tome of approximately 256 pages with lots of color photos, graphs and charts. After two weeks of hard work, they had their book. EARTH (The Book) is the definitive guide to our species. With their trademark wit, irreverence, and intelligence, Stewart and his team will posthumously answer all of life's most hard-hitting questions, completely unburdened by objectivity, journalistic integrity, or even accuracy.The New York Times - Janet MaslinLike the ""Daily Show"" this parody delivers wittily framed absurdities in a sweetly deadpan way…like the show, [it's] best when it takes on subjects of real substance…That's why the funniest material is about religion and science.","2010","0"
"The Complete Works of Kate Chopin","Kate Chopin","9780807131510","In 1969, Per Seyersted gave the world the first collected works of Kate Chopin. Seyersted's presentation of Chopin's writings and biographical and bibliographical information led to the rediscovery and celebration of this turn-of-the-century author. Newsweek hailed the two-volume opus ""In story after story and in all her novels, Kate Chopin's oracular feminism and prophetic psychology almost outweigh her estimable literary talents. Her revival is both interesting and timely."" Now for the first time, Seyersted's Complete Works is available in a single-volume paperback. It is the first and only paperback edition of Chopin's total oeuvre. Containing twenty poems, ninety-six stories, two novels, and thirteen essays in short, everything Chopin wrote except several additional poems and three unfinished children's stories as well as Seyersted's original revelatory introduction and Edmund Wilson's foreword, this anthology is both a historical and a literary achievement. It is ideal for anyone who wishes to explore the pleasures of reading this highly acclaimed author.About the Author:Per Seyersted also published in 1969 Kate Chopin: A Critical Biography, which remains in print. He lived from 1921 2005 and was a professor of American literature at the University of Oslo.","2006","0"
"Winter Song: Christmas Readings","Madeleine L'Engle","9781573833325","Have a cup of coffee and put a log on the fire, settle info a comforable chair and enjoy a winter's day with the writings of novelist Madeleine L'Engle and poet Luci Shaw. Participate in the winter season: the wonder, the solemnity, the power, and the miracles. These readings reflect on the winter world around us, drawing joy from winter days, hope from Christmas celebrations, and promise for the New Year.This elegant collection is the natural outflow of the long-standing friendship between Madeleine L'Engle and Luci Shaw. Sharing similar themes and a reflective style of writing, they combine their two rich literary worlds.Newbery Award Winner Madeleine L'Engle is widely known for her children's books, and adult fiction and nonfiction. Her most recent book is Live Coal in the Sea. Renowned poet Luci Shaw's most recent book is The Green Earth: Poems of Creation. Both women are widely known throughout the United States and Canada for their workshops on writing and journaling, lectures, and retreats.","2004","3"
"Growing Up in the South: An Anthology of Modern Southern Literature","Suzanne Jones","9780451528735","Twenty-four unmistakably Southern 20th-century voices-of varying race, class, and gender-demonstrate that region's extraordinary range of storytellers in this eloquent coming-of-age collection.","2003","3"
"Postmodern American Poetry: A Norton Anthology","Paul Hoover","9780393310900","Beginning in 1950 with Charles Olsen, Postmodern American Poetry: A Norton Anthology is the first anthology since Donald Allen’s groundbreaking collection to fully represent the movements of American avant-garde poetry.Publishers WeeklyConcentration and magnification make the best anthologies work, and this may be one of them. Concentration: the focus on a body of writing with a heritage, an era, or a style in common that tests shared visions and constraints. Magnification: an expanse that seems to widen and deepen as we are allowed to take a look at it, and then another look. For anyone carping at the idea of the postmodern or the avant-garde as wanly intellectual, fiercely separatist, beside the point, or even nonexistent, Hoover's large-scale collection of recent experimental American poetry (and a concluding selection of essays about it) should persuade that it's not. He brings together more than 100 writers from the 1950s and since--Olson, Duncan, O'Hara, Ginsberg, Corso, Dorn, Major, Ashbery, Guest--whose adventures with the language renew it for far more than a readymade membership. The fact that some of the poets are sine qua nons and others aren't simply leaves the whole tribe more interesting. There's almost no point in listing names, except to indicate breadth; the same could be said for the ``schools'' represented. For literary positions have a way easing from their own strictures and outgrowing acolytic expectation when the words themselves are richly transformed and reformed--as they are here. Hoover is the editor of New American Writing. (Apr.)","1994","3"
"American Gothic: An Anthology 1787-1916 (Blackwell Anthologies Series)","Crow","9780631206521","This collection brings together, and sets into dialogue, Gothic works by a number of authors, men and women, black and white, which illuminate many of the deepest concerns and fears of nineteenth-century America.","1999","9"
"Message to Aztlan: Selected Readings","Rodolfo Gonzales","9781558853317","One of the most famous leaders of the Chicano civil rights movement, Rodolfo ""Corky"" Gonzales, was a multifaceted and charismatic, bigger-than-life hero who inspired his followers not only by taking direct political action but also by making eloquent speeches, writing incisive essays, and creating the kind of socially engaged poetry and drama that could be communicated easily throughout the barrios of Aztlan, the communities populated by Chicanos in the United States. Gonzales is the author of I Am Joaquin, an epic poem of the Chicano Movement that lives on in film, sound recording, and hundreds of anthologies. Gonzales and other Chicanos established the Crusade for Justice, a Denver-based civil rights organization, school, and community center, in 1966. The school, La Escuela Tlatelolco, lives on today some three decades after its founding. In Message to Aztlan, Dr. Antonio Esquibel, Professor Emeritus of Metropolitan State College of Denver, has compiled the first collection of Gonzales' diverse writings: the original I Am Joaquin (1967), along with a new Spanish translation; seven major speeches (1968-78); two plays, The Revolutionist and A Cross for Maclovio (1966-67); various poems written during the 1970s and a selection of letters. These varied works demonstrate the evolution of Gonzales' thought on human and civil rights. Any examination of the Chicano Movement is incomplete without this volume. An eight-page photo insert accompanies the text.Library JournalThis edition features selected writings of the Chicano civil rights leader, handpicked by Gonzales himself with the help of his longtime friend and political associate Esquibel (emeritus, Metropolitan State Coll. of Denver). The years represented in these writings, 1966-1980, were important ones for the Chicano movement, as mainstream America had just begun to wake up to the concerns of Mexican Americans and other Latin American citizens. As his speeches reveal, Gonzales was a key figure. His words expose and attack the cultural stereotypes plaguing his people for centuries under Euro-American domination and emphasize education for the Chicano people, both academic and political. Also included in this work is the famous ""Yo Soy Joaquin,"" an epic poem covering the history of Aztec civilization and the fate of its descendants today. Gonzales's poetry and plays (also featured in this edition) may seem a bit dated and melodramatic today, but they are historically important and represent the struggles encountered by Chicanos up to the 1980s. Gonzales hoped that this work would ""inspire and motivate a new generation of Chicanos,"" and for this reason it belongs in academic libraries and public libraries with many Chicano or Mexican American patrons. Nedra C. Evers, Sacramento P.L. Copyright 2001 Cahners Business Information.","2001","0"
"Fierce Pajamas: An Anthology of Humor Writing from the New Yorker","David Remnick","9780375761270","When Harold Ross founded The New Yorker in 1925, he described it as a comic weekly.Library JournalRemnick, New Yorker editor since 1999, and Finder, the magazine's editorial director, recommend taking this book in small doses. However, New Yorker humor is not for everyone. Do not read this book if you suffer from an irony deficiency, or if you are currently taking any form of remedial English. Also, do not read this book if you are allergic to E.B. White, Robert Benchley, S.J. Perelman, Dorothy Parker, Woody Allen, Veronica Geng, Steve Martin, or Jack Handey. Side effects include the urge to do literary research (to track down the targets of spoofs) and the discovery of some very funny writers who may be unknown to you. To learn more about the type of material contained in this book, consult Judith Yaross Lee's Defining New Yorker Humor (LJ 2/1/00). Ask your librarian if Fierce Pajamas is right for you. Available by prescription at public and academic libraries. Susan M. Colowick, North Olympic Lib. Syst., Port Angeles, WA Copyright 2001 Cahners Business Information.","2002","8"
"American Tradition in Literature : With American Ariel, Vol. 2","George Perkins","9780073221533",,"2006","1"
"Sporting Lives: Metaphor and Myth in American Sports","James W. Pipkin","9780826217790","This first book to examine the two popular realms of sports and autobiography looks at recurring patterns found in athletes' accounts of their lives and sporting experiences, examining language, metaphor, and other rhetorical strategies to analyze sports from the inside out. Drawing on the life stories of well-known athletes, Pipkin follows players from the ""echoing green"" of eternal youth to the sometimes cultlike and isolated status of fame, interpreting recurring patterns both in the living of their lives and in the telling of them. He sheds light on athletes' common obsession with youth and body image; explores their descriptions of being ""in a zone""; and considers the time that all athletes dread, when their bodies begin to betray them . . . and the cheering stops.","2008","6"
"The Norton Anthology of Literature by Women: The Traditions in English, Vol. 2","Sandra M. Gilbert","9780393930146","Long the standard teaching anthology, the landmark Norton Anthology of Literature by Women has introduced generations of readers to the rich variety of women’s writing in English.","2007","5"
"Xerophilia: Ecocritical Explorations in Southwestern Literature","Tom Lynch","9780896726383","The arid American Southwest is host to numerous organisms described as desert-loving, or zerophilous. Extending this class to include the region's writers and the works that mirror their love of desert places, Tom Lynch presents the first systematically ecocritical study of its multicultural literature.","2008","8"
"The Norton Anthology of Literature by Women: The Traditions in English, Vol. 1","Sandra M. Gilbert","9780393930139","Long the standard teaching anthology, the landmark Norton Anthology of Literature by Women has introduced generations of readers to the rich variety of women’s writing in English.","2007","6"
"Literature and the Environment: A Reader on Nature and Culture","Lorraine Anderson","9780321011497","Exploring our relationship to nature and the role literature can play in shaping a culture responsive to environmental realities, this thematic, multi-genre anthology includes early writers such as John Muir, Henry David Thoreau, and Mary Austin, alongside contemporary voices such a Gary Snyder and Terry Tempest Williams.","1998","9"
"Screaming Monkeys: Critiques of Asian American Images","M. Evelina Galang","9781566891417","Art, fiction, poetry and essays critiquing Asian and Asian American images in media, government, and popular culture.","2003","2"
"Motherland: Writings by Irish American Women about Mothers and Daughters","Caledonia Kearns","9780688175863","From Angela's Ashes to Riverdance, Irish literature and art are capturing the American imagination as never before. Ireland's literary legacy has taken root in American soil, and this dazzling anthology captures the spirit of this Celtic renaissance.Motherland presents a poignant collection of Irish American women's writings about the mother-daughter bond in all its variety: sometimes a source of strength and solace, sometimes of sorrow and resentment, but always and everywhere central to the author's identity.Acclaimed anthologist Caledonia Kearns has collected more than twenty pieces of fiction and nonfiction to create a rich tapestry of emotion, humor, and truth, featuring the work of contemporary writers, such as Anna Quindlen, Mary Gordon, Doris Kearns Goodwin, Mary Cantwell, Martha Manning, Rosemary Mahoney, Susan Minot, and Maureen Howard, along with voices from past eras like Margaret Sanger, Mother Jones, and M.F.K. Fisher.This book speaks directly to the hearts of every mother and daughter. Irish or not, readers will find treasures to cherish, wisdom to live by, and words that sing with the spirit of the Celtic soul. It's a wonderful gift for St. Patrick's Day, Mother's Day, or any occasion when eloquence is the order of the day.Publishers WeeklyKearns (Cabbage and Bones) has done an exemplary job of assembling this anthology of writings by a wide variety of Irish-American women. Although many of the selections are memoirs and essays concerning motherhood, some fiction is also included, such as the sample from nearly forgotten novelist Ellin Mackay Berlin (Lace Curtain). Of particular interest are selections from the autobiographies of two important Irish-American labor activists: Helen Gurley Glynn (1890-1964) delivers a stirring tribute to her mother, an immigrant whose political activism made her a role model for her daughter; Mother Jones (1830-1930) recalls how she began agitating for the rights of strikers after the deaths of her husband and four children from yellow fever. There is a touching piece by historian Doris Kearns Goodwin, who recalls her childhood attempts to wish away her mother's serious illness. Mary Cantwell describes the painful birth of her baby. Other contributors in this thoughtful collection include Mary Gordon, Anna Quindlen and birth-control pioneer Margaret Sanger.","2000","6"
"Mother California: A Story of Redemption Behind Bars","Kenneth E. Hartman","9781934633946","""A magnificent inquiry into the human condition.""—Publishers Weekly, starred reviewPublishers WeeklyStarred Review. In this memoir, a magnificent inquiry into the human condition, a man serving a life sentence in the California prison system documents the brutality and inhumanity of life ""inside,"" where criminals are victimized rather than rehabilitated, and chaos flowers among the despairing. Hartman, an eloquent, middle-aged prisoner convicted of murder at 19, tells a sad but unsentimental story: a rough childhood and a wish for invincibility fueled Hartman's youth and downfall, but in the time since, he has married in prison, fathered a child, and currently works to improve the broken U.S. prison system. Hartman discovered his talent in a writing class, after having abandoned drugs; using it, he examines up close the ""mad, violent circus"" of prison life, his place in it, and the fate of his fellow prisoners: ""Under the big tent of this brutally unnatural environment, few of us ever take the frightening step of analyzing our deeper motives."" Copyright © Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.","2010","6"
"Among the Blacks","Ron Padgett","9780939691029","Fiction. African American Studies. Translated from the French. AMONG THE BLACKS consists of two works: Ron Padgett's translation of Raymond Roussel's early story ""Parmi les noirs,"" first published in 1935 in his book Comment j'ai ecrit certain de mes livres, together with Padgett's memoir focusing upon his own experience among black people. Roussel's story, about a master mariner named White who encounters an African chief named Booltable, is built upon the kind of whimsical and extravagant word play (its first and last sentences are identical except for one letter in one word--""pooltable""/ ""Booltable"") for which Roussel was idolized by the French Surrealists. In contrast, as he writes in his Afterword, Padgett's memoir ""grew out of the nagging need to come to grips with the frustrations of being a white American who had grown up in a racist environment and who, despite his rejections of racism at an early age, had rarely felt unselfconscious in the company of a black person."" ""What he leaves us with is a work that is like the perfectly preserved temple of a cult which has disappeared without a trace, or a complicated set of tools whose use cannot be discovered. But even though we may never be able to 'use' [Roussel's] work in the way he hoped, we can still admire its inhuman beauty, and be stirred by a language that seems always on the point of revealing its secret, of pointing the way back to the 'republic of dreams' whose insignia blazed on his forehead""--John Ashbery.","1988","2"
"Moment's Notice: Jazz in Poetry and Prose","Art Lange","9781566890014","The editors have collected the jazz-inspired works of close to sixty writers ranging from Julio Cortazar and Jessica Hagedorn to Langston Hughes and Ishmael Reed. ""Moment's Notice is the best anthology of jazz literature I've ever seen.""--Bart Schneider, Hungry Mind Review ¶""The jazz anthology to end all jazz anthologies.""--Booklist","1992","1"
"The Butterfly's Way: Voices from the Haitian Dyaspora in the United States","Edwidge Danticat","9781569472187","In five sections - Childhood, Migration, Half / First Generation, Return, and Future - the contributors to this anthology write powerfully, often hauntingly, of their lives in Haiti and the United States. Jean-Robert Cadet's description of his Haitian childhood as a restavek - a child slave - in Port-au-Prince contrasts with Dany Laferiere's account of a ten-year-old boy and his beloved grandmother in Petit-Goave. We read of Marie Helene Laforest's realization that while she was white in Haiti, in the United States she is black. Patricia Benoit tells us of a Haitian woman regugee in a detention center who has a simple need, a red dress - dignity. The reaction of a man when he marries the woman he loves is the theme of Gary Pierre-Pierre's ""The White Wife""; the feeling of alienation is explored in ""Made Outside"" by Francie Latour. The frustration of trying to help those who remained and of the do-gooders who do more for themselves than the Haitians is described in Babette Wainwright's ""Do Somthing for Your Soul, Go to Haiti."" The variations and permutations of the divided self of the Haitian emigrant are poignantly conveyed in this unique anthology.Publishers WeeklyThe experience of Haitian migr s in what novelist Danticat (Krik? Krak!; etc.) calls the ""tenth"" geographical ""department"" of Haiti--""the floating homeland, the ideological one, which joined all Haitians living in the dyaspora""--is the theme of this collection of 33 spare and evocative essays and poems. Most of these writers fled political instability as children and describe the dual reality of alienation from yetbelonging to two worlds, forging an identity separate from that of their parents in the new country, while at the same time continuing to wait for stability in the old country. Nik l Payen tells of her experience as a U.S. Justice Department-sponsored interpreter who uses her knowledge of Krey l (""the language whose purpose in life up until now had been to pain and confuse me"") as ""an asset"" to translate for refugees waiting in horrific conditions at Guantanamo Naval Base following the overthrow of President Jean-Bertrand Aristide. When she witnesses the return of some of these Haitians--denied entrance to the U.S.--she likens their journey to the African Middle Passage. In another, Marie-H l ne Laforest, whose lighter skin color and family's wealth made her ""white"" in Haiti, realizes that she is simply black in America and later forges a third identity in Italy. Francie Latour, a journalist, convinces her American newspaper to send her to Haiti with a noble aim, but ends up ""hitting a cultural wall"" and being viewed as a ""traitor"" by her native people. This rich collection of writings will appeal to the growing number of Haitian-Americans and others interested in the question of the migr 's sense of identity. (Feb.) Copyright 2000 Cahners Business Information.","2003","9"
"Riding Low on Streets of Gold","Judith Ortiz Cofer","9781558853805","""There seemed to be no way out of the custom. Her arguments were always the same and always turned into pleas ... 'But, Ama', it's embarrassing. I'm too old for that. I'm an adult,'"" Naomi says in Helena Maria Viramontes' story ""Growing."" Ever since Naomi hit high school and puberty, she began to notice that ""there were too many expectations, and no one instructed her on how to fulfill them..."" In her tradition-bound family and under the thundering gaze of her father, Naomi struggles to stretch the limitations imposed on her by her family, even as her mind expands along with her changing body. Like ""Growing,"" the pieces in this anthology for young adults reveal the struggles of discovering a new self and the trials of leaving behind an old one. This extraordinary collection gathers a wealth of stories and poems that explore the challenges of negotiating identity and relationships with others, struggling with authority, learning to love oneself and challenging the roles society demands of teenagers and adults. Edited by well-known poet and prose-writer Judith Ortiz Cofer, the collection includes work by such leading Latino writers as Pat Mora, Jesus Salvador Trevino, Tomas Rivera, Virgil Suarez, Jose Marti, Viramontes and Ortiz Cofer herself. Included as well are new voices that represent the freshness and vigor of youth: Mike Padilla, Daniel Chacon, and Sarah Cortez. For many students across the United States, this text will serve as their first rewarding introduction to diverse writers of Latino/Latina literature.Publishers WeeklyRiding Low on the Streets of Gold, edited by Judith Ortiz Cofer, gathers stories and poems from contemporary Hispanic literature. The themes run from the magical-such as ""The Fabulous Sinkhole"" by Jesus Salvador Trevi o, in which life in a small border town is changed by the mysterious appearance of a hole in a resident's yard that yields gifts-to the realistically human-as with ""Carrying Sergei"" by Mike Padilla in which a 14-year-old girl impulsively harms a classmate, then attempts to set things right. Copyright 2004 Reed Business Information.","2003","1"
"For She Is the Tree of Life: Grandmothers Through the Eyes of Women Writers","Valerie Kack-Brice","9781573240376","For many women, memories of their grandmothers open up a Pandora's box if thoughts, feeling, and images. Filled with poems, stories, photographs, this anthology reveals the rich variety of these connections, as writers such as M.F.K. Fisher, MargaretAtwood, Isabel Allende, and Maya Angelou explore their relati onships with their grandmothers. Photos.Publishers WeeklyThis engaging collection of short pieces of autobiography, fiction and poetry, some published previously, deals with the grandmother-granddaughter relationship. According to Kack-Brice, a California clinical social worker, memories of grandmothers, whether positive or negative, are a powerful connection to childhood, and the exploration of these reminiscences can lead to deeper self-knowledge. Many of the selections, including the poetry of Marge Piercy and Linda Hogan and memoirs by Ethel Barrymore and Maya Angelou, evoke grandmothers as figures of strength and inspiration. Other contributors, such as M.F.K. Fisher and Stephanie Patterson, describe more troubled relationships with their grandmothers. A touching selection by Jewelle Gomez recalls how her grandmother accepted her lesbianism. Exercises for the reader who wants to write about her own grandmother are provided by the contributors. Photos not seen by PW. (Apr.)","1996","8"
